id	category
tt5574490	56
tt5215952	12
tt5116280	40
tt5078326	16
tt5001130	48
tt4939066	35
tt4877736	34
tt4871980	64
tt4824308	6
tt4786282	18
tt4733536	45
tt4707756	54
tt4667094	19
tt4651520	19
tt4591310	44
tt4517738	18
tt4511566	18
tt4474310	0
tt4462082	48
tt4438848	19
tt4428038	6
tt4422836	24
tt4416518	4
tt4412528	5
tt4387040	35
tt4386242	19
tt4374230	49
tt4340720	74
tt4337690	6
tt4333662	48
tt4291590	50
tt4280822	39
tt4263482	12
tt4262980	73
tt4257926	6
tt4254584	44
tt4219836	48
tt4196848	6
tt4196776	38
tt4196450	37
tt4193394	6
tt4192812	40
tt4178092	33
tt4172430	62
tt4162992	55
tt4139124	19
tt4136084	23
tt4094724	73
tt4085584	9
tt4080386	5
tt4075322	8
tt4063178	6
tt4062896	75
tt4062536	29
tt4060866	45
tt4057916	65
tt4056738	6
tt4052882	29
tt4051832	13
tt4048942	43
tt4046784	45
tt4044464	24
tt3973612	54
tt3949660	47
tt3921180	22
tt3904272	16
tt3892618	18
tt3882082	12
tt3877200	40
tt3856124	54
tt3850590	57
tt3850214	72
tt3846642	6
tt3846442	75
tt3838992	57
tt3832096	18
tt3787590	77
tt3781616	74
tt3760922	46
tt3742378	54
tt3719896	37
tt3713166	12
tt3707106	27
tt3703148	19
tt3691740	11
tt3687310	24
tt3683702	63
tt3682770	54
tt3682448	60
tt3672840	42
tt3666210	60
tt3659388	47
tt3658772	60
tt3626436	17
tt3622592	27
tt3569356	19
tt3569230	21
tt3567288	29
tt3566698	49
tt3565836	12
tt3564748	48
tt3561236	53
tt3561180	69
tt3551400	29
tt3547740	16
tt3533916	18
tt3531824	33
tt3528666	74
tt3526286	12
tt3516878	56
tt3513704	66
tt3511596	9
tt3508840	39
tt3504048	17
tt3499458	18
tt3499096	5
tt3498820	47
tt3489184	59
tt3488710	60
tt3488328	43
tt3469440	43
tt3460252	22
tt3457376	48
tt3453052	6
tt3450650	9
tt3432552	12
tt3428912	40
tt3421204	75
tt3410834	3
tt3397884	58
tt3387542	12
tt3385516	47
tt3369806	7
tt3367294	49
tt3359872	4
tt3346224	60
tt3341072	43
tt3333870	18
tt3332064	28
tt3322940	12
tt3322364	21
tt3322312	0
tt3319920	10
tt3316960	6
tt3300572	49
tt3300542	43
tt3297554	6
tt3297330	60
tt3289362	54
tt3277624	6
tt3276924	74
tt3268668	24
tt3262990	6
tt3247714	74
tt3235888	12
tt3231054	39
tt3230082	31
tt3228904	1
tt3214286	48
tt3212232	0
tt3210710	60
tt3210686	37
tt3205376	13
tt3202120	49
tt3195644	17
tt3181822	33
tt3172532	27
tt3170832	54
tt3157318	60
tt3155604	54
tt3153582	63
tt3152624	49
tt3152288	45
tt3148834	14
tt3148266	50
tt3145220	15
tt3139764	29
tt3125472	54
tt3125324	1
tt3118452	50
tt3110958	68
tt3110770	19
tt3109200	75
tt3104930	64
tt3103166	5
tt3099498	15
tt3076658	6
tt3074732	25
tt3072636	48
tt3065204	12
tt3063516	19
tt3045616	23
tt3043194	18
tt3040964	11
tt3037162	21
tt3034146	18
tt3032282	63
tt3018070	6
tt3014866	10
tt3014666	19
tt3007512	54
tt3006802	27
tt3000844	5
tt2980708	41
tt2980648	15
tt2980516	77
tt2978462	61
tt2975590	47
tt2975578	26
tt2974918	14
tt2968804	9
tt2967224	9
tt2967008	77
tt2957680	45
tt2955096	15
tt2952602	39
tt2945796	40
tt2938956	31
tt2937898	0
tt2936180	16
tt2923316	43
tt2918436	34
tt2914838	54
tt2912776	1
tt2911342	67
tt2910814	4
tt2910274	15
tt2909932	33
tt2908446	3
tt2888046	21
tt2884206	27
tt2883434	6
tt2876428	54
tt2872732	73
tt2872724	29
tt2872718	24
tt2870708	15
tt2870612	12
tt2869728	19
tt2866824	6
tt2852376	54
tt2848292	1
tt2837336	12
tt2828996	57
tt2825768	48
tt2820852	74
tt2814362	16
tt2802850	24
tt2800038	50
tt2796678	19
tt2788732	28
tt2788710	19
tt2784678	64
tt2780714	48
tt2768766	54
tt2761578	0
tt2752772	12
tt2752758	12
tt2752688	37
tt2739338	77
tt2726560	27
tt2724064	18
tt2723576	54
tt2722786	8
tt2719848	21
tt2718492	54
tt2717822	58
tt2713180	39
tt2709768	65
tt2702724	19
tt2692250	28
tt2690560	15
tt2674426	77
tt2668134	8
tt2667960	54
tt2660888	3
tt2655734	5
tt2654360	48
tt2649554	63
tt2647544	66
tt2645670	73
tt2640460	21
tt2638144	6
tt2637294	55
tt2637276	19
tt2631186	39
tt2628316	77
tt2622294	18
