id	category
tt2609912	48
tt2609758	15
tt2598580	75
tt2584018	61
tt2582846	27
tt2582802	1
tt2577172	17
tt2567026	28
tt2562232	25
tt2561572	41
tt2559658	48
tt2557490	19
tt2556874	40
tt2555736	13
tt2553908	35
tt2521668	16
tt2515086	48
tt2515034	58
tt2515030	69
tt2510894	14
tt2505294	6
tt2503954	58
tt2503944	15
tt2494384	54
tt2486682	54
tt2479800	6
tt2479478	19
tt2475846	7
tt2474024	25
tt2473794	21
tt2473682	59
tt2473602	37
tt2467046	58
tt2465146	25
tt2460506	56
tt2452042	79
tt2446980	15
tt2446502	18
tt2446042	31
tt2442662	29
tt2436386	4
tt2431286	21
tt2417650	19
tt2414822	42
tt2414046	54
tt2404463	9
tt2404425	21
tt2404233	44
tt2403815	48
tt2403415	18
tt2403393	21
tt2403021	18
tt2402157	74
tt2402105	40
tt2401878	25
tt2398249	19
tt2398231	6
tt2397255	0
tt2396566	48
tt2395427	47
tt2395247	64
tt2390361	25
tt2389182	24
tt2388715	12
tt2388621	6
tt2387559	15
tt2382396	6
tt2381991	44
tt2381941	72
tt2381249	38
tt2381111	77
tt2380301	60
tt2379713	38
tt2379386	70
tt2378281	54
tt2377322	12
tt2375605	21
tt2375036	64
tt2369135	0
tt2368645	27
tt2364841	4
tt2363439	29
tt2361700	21
tt2361509	15
tt2359024	24
tt2358925	19
tt2358891	54
tt2357291	79
tt2355844	66
tt2350496	54
tt2349460	1
tt2347569	25
tt2343473	62
tt2334896	69
tt2334879	62
tt2334873	6
tt2334649	27
tt2333784	71
tt2328813	54
tt2325977	63
tt2322441	27
tt2321163	54
tt2319456	45
tt2318092	27
tt2317796	66
tt2312718	0
tt2311428	33
tt2310332	8
tt2309788	48
tt2309260	29
tt2305051	37
tt2304933	3
tt2304771	21
tt2302755	74
tt2295722	44
tt2294916	48
tt2294629	14
tt2294449	9
tt2293640	36
tt2292959	60
tt2290113	64
tt2281587	20
tt2279373	14
tt2279339	19
tt2278388	72
tt2275671	54
tt2271563	5
tt2268016	1
tt2267998	22
tt2267968	79
tt2265398	25
tt2263814	4
tt2262227	14
tt2249221	69
tt2248739	77
tt2247692	48
tt2247476	61
tt2246526	48
tt2245084	36
tt2243973	22
tt2243621	7
tt2243537	57
tt2241676	77
tt2241351	24
tt2239832	2
tt2234155	19
tt2234025	19
tt2231253	0
tt2229499	25
tt2229377	4
tt2226519	4
tt2226417	59
tt2224026	14
tt2223990	6
tt2215719	48
tt2215673	6
tt2215285	72
tt2209764	30
tt2209418	27
tt2205401	60
tt2203939	64
tt2199571	0
tt2199543	54
tt2194499	77
tt2193215	24
tt2191701	19
tt2190180	33
tt2189221	45
tt2187884	59
tt2184339	34
tt2183034	7
tt2182972	1
tt2181837	48
tt2180411	8
tt2180333	17
tt2179136	35
tt2178470	25
tt2177771	6
tt2176013	54
tt2172935	1
tt2172934	62
tt2170593	15
tt2170439	41
tt2170299	15
tt2167202	74
tt2166834	74
tt2166214	49
tt2165765	18
tt2164708	34
tt2149137	18
tt2147225	43
tt2141739	48
tt2140379	33
tt2140373	1
tt2140037	39
tt2139721	48
tt2126362	17
tt2126355	62
tt2125435	51
tt2125430	6
tt2120120	45
tt2113659	25
tt2112277	0
tt2112209	64
tt2111292	45
tt2109248	47
tt2109184	18
tt2107644	29
tt2106476	54
tt2106361	74
tt2103281	47
tt2103267	54
tt2103254	19
tt2103217	53
tt2102502	42
tt2101441	56
tt2101341	0
tt2100573	18
tt2099556	17
tt2097307	64
tt2097298	37
tt2096673	14
tt2096672	19
tt2095649	54
tt2091473	6
tt2091427	54
tt2084970	21
tt2083383	6
tt2083355	15
tt2081194	18
tt2080374	21
tt2076220	16
tt2071645	22
tt2070791	47
tt2070597	25
tt2058673	74
tt2058107	54
tt2053463	24
tt2051894	6
tt2049518	29
tt2049116	69
tt2048865	4
tt2042568	1
tt2040578	13
tt2039393	24
tt2035599	48
tt2034139	63
tt2025690	62
tt2024544	37
tt2024506	15
tt2024469	30
tt2024432	41
tt2023587	17
tt2023453	75
tt2017486	54
tt2017038	39
tt2017020	14
tt2016335	15
tt2015381	47
tt2011276	53
tt2011159	4
tt2006295	21
tt2005374	22
tt2004420	19
tt2002718	68
tt1999192	48
tt1996264	19
tt1995477	64
tt1995390	30
tt1991245	12
tt1990314	72
tt1989646	1
tt1986843	49
tt1986770	64
tt1985966	14
tt1985949	65
tt1985017	50
tt1981703	48
tt1981677	64
tt1981115	44
tt1981107	42
tt1980929	1
tt1980209	72
tt1979388	14
tt1979320	21
tt1976608	48
tt1976009	34
tt1974419	53
tt1972779	27
tt1972571	40
tt1971352	24
tt1971325	73
tt1967545	6
tt1964418	47
tt1959490	39
tt1958961	72
tt1958007	12
tt1956620	19
tt1951266	47
tt1951265	3
tt1951264	3
tt1951181	27
tt1946381	74
tt1945044	12
tt1943014	18
tt1942884	48
tt1939659	59
tt1937264	77
tt1935902	57
tt1935179	6
tt1934172	39
tt1931533	13
tt1931435	19
tt1930294	29
tt1929263	37
tt1924435	19
tt1924429	10
tt1924396	10
tt1922777	12
tt1922679	43
tt1922612	48
tt1921149	10
tt1921064	42
tt1920849	64
tt1915581	15
tt1913166	29
tt1911658	79
tt1911644	4
tt1907668	60
tt1907639	39
tt1904996	76
tt1899353	43
tt1895587	56
tt1885265	25
tt1884318	18
tt1881002	6
tt1880418	15
tt1879030	16
tt1877832	70
tt1876517	79
tt1876451	1
tt1874789	19
tt1872194	56
tt1872181	70
tt1870529	6
tt1869716	40
tt1869425	1
tt1866249	25
tt1865346	18
tt1862079	25
tt1861343	56
tt1860353	79
tt1860213	19
tt1859650	64
tt1855401	19
tt1855325	73
tt1855199	24
tt1854582	18
tt1854564	28
tt1853728	6
tt1852001	16
tt1850418	37
tt1844203	63
tt1843866	47
tt1841642	29
tt1840417	66
tt1840309	47
tt1838722	30
tt1837709	51
tt1837703	60
tt1836212	4
tt1832382	54
tt1828327	19
tt1826590	64
tt1823672	0
tt1823664	75
tt1821694	68
tt1821658	79
tt1821549	15
tt1817273	24
tt1816518	65
tt1815862	47
tt1814621	25
tt1810683	54
tt1809398	37
tt1800741	78
tt1800337	30
tt1800246	64
tt1800241	56
tt1799508	12
tt1798709	27
tt1798684	6
tt1798291	6
tt1798243	1
tt1792647	57
tt1791682	15
tt1791528	72
tt1790886	19
tt1790885	60
tt1790864	33
tt1788391	53
tt1781922	74
tt1781784	48
tt1781769	77
tt1778304	18
tt1772422	13
tt1772408	60
tt1772341	79
tt1772288	1
tt1772261	12
tt1772240	12
tt1772230	35
tt1767382	63
tt1764651	71
tt1764234	4
tt1764183	60
tt1762399	7
tt1758830	19
tt1758795	64
tt1758692	27
tt1758575	15
tt1756851	57
tt1754656	67
tt1754633	57
tt1754264	39
tt1753460	27
tt1748227	29
tt1748207	50
tt1748179	63
tt1748122	25
tt1747958	69
tt1743993	53
tt1743720	48
tt1742650	64
tt1742336	15
tt1742334	0
tt1742044	37
tt1741273	22
tt1740707	57
tt1735898	44
tt1734586	4
tt1731697	59
tt1731141	45
tt1730687	25
tt1727388	15
tt1726669	24
tt1726592	30
tt1726589	19
tt1723811	77
tt1723121	41
tt1720182	6
tt1719071	15
tt1716760	18
tt1714210	77
tt1714209	27
tt1714206	25
tt1714204	22
tt1712261	0
tt1712170	58
tt1711425	19
tt1710396	1
tt1709143	53
tt1707386	27
tt1706620	73
tt1706593	60
tt1704573	72
tt1703199	17
tt1702455	6
tt1702443	48
tt1702439	27
tt1702425	19
tt1701990	34
tt1700841	8
tt1699755	64
tt1698641	75
tt1695994	19
tt1694021	29
tt1694020	15
tt1692486	16
tt1692084	19
tt1690953	65
tt1687901	53
tt1684628	16
tt1682180	40
tt1681370	76
tt1679332	73
tt1679248	25
tt1675192	60
tt1673434	51
tt1670345	33
tt1668200	16
tt1667889	79
tt1667353	28
tt1667310	24
tt1667307	25
tt1666801	19
tt1666335	4
tt1666186	19
tt1663662	47
tt1663628	46
tt1663202	60
tt1663143	19
tt1661420	16
tt1661382	19
tt1661199	51
tt1659337	27
tt1658801	27
tt1657507	43
tt1656190	74
tt1656186	0
tt1655460	19
tt1655442	16
tt1655441	51
tt1655420	21
tt1653911	16
tt1653002	15
tt1650554	9
tt1650062	33
tt1650043	75
tt1649419	63
tt1648179	19
tt1647668	37
tt1646987	44
tt1646974	16
tt1646971	14
tt1645170	64
tt1645089	48
tt1645080	27
tt1641841	43
tt1641388	17
tt1640714	61
tt1640484	15
tt1640459	17
tt1639397	15
tt1638355	44
tt1637725	57
tt1637706	15
tt1637688	45
tt1636826	41
tt1634122	9
tt1634003	7
tt1633356	29
tt1632708	64
tt1631867	47
tt1631707	33
tt1630036	6
tt1629757	37
tt1629705	44
tt1628841	47
tt1625346	15
tt1623288	14
tt1623205	28
tt1622979	18
tt1622547	9
tt1621045	64
tt1621039	79
tt1620449	65
tt1618442	44
tt1618430	43
tt1617661	47
tt1616195	56
tt1615918	14
tt1615147	60
tt1615065	24
tt1614989	69
tt1612774	57
tt1612319	18
tt1611224	59
tt1610996	12
tt1608290	19
tt1606829	48
tt1606389	27
tt1606378	74
tt1605783	52
tt1605630	19
tt1604171	15
tt1602620	16
tt1602613	54
tt1602098	77
tt1601913	62
tt1600195	33
tt1599348	58
tt1598828	76
tt1598822	64
tt1598778	60
tt1596365	53
tt1596363	37
tt1596350	64
tt1596346	37
tt1596343	74
tt1594562	18
tt1592873	25
tt1592525	3
tt1592154	0
tt1591479	62
tt1591095	12
tt1588337	16
tt1588334	15
tt1588173	64
tt1587310	28
tt1586752	56
tt1586265	25
tt1584131	49
tt1583421	3
tt1583420	25
tt1582507	63
tt1578275	15
tt1575694	74
tt1573072	49
tt1572315	29
tt1571249	15
tt1571222	21
tt1570989	25
tt1570728	25
tt1568911	6
tt1568346	22
tt1568341	22
tt1568338	74
tt1568139	5
tt1566501	35
tt1564585	45
tt1564367	64
tt1564349	61
tt1563738	27
tt1562847	6
tt1562568	6
tt1560985	18
tt1560957	48
tt1560747	6
tt1559547	51
tt1555064	54
tt1554921	43
tt1554091	27
tt1551641	21
tt1549920	74
tt1549572	27
tt1547234	74
tt1547090	19
tt1545106	64
tt1544600	6
tt1542344	60
tt1541995	54
tt1540133	41
tt1540128	64
tt1538403	59
tt1536044	18
tt1535616	69
tt1535612	24
tt1535438	25
tt1535109	60
tt1535108	62
tt1534085	17
tt1532958	1
tt1532957	54
tt1532503	25
tt1531663	15
tt1529572	24
tt1529567	48
tt1528854	75
tt1528100	38
tt1527186	54
tt1525366	53
tt1524930	19
tt1524575	29
tt1524137	0
tt1521197	21
tt1520498	28
tt1519461	34
tt1518812	6
tt1517489	36
tt1517260	3
tt1517177	25
tt1515091	71
tt1512235	72
tt1510934	48
tt1509803	25
tt1509767	42
tt1508675	54
tt1506999	43
tt1504320	21
tt1502712	47
tt1502404	74
tt1499658	41
tt1498870	19
tt1496025	59
tt1491044	56
tt1490017	14
tt1489889	9
tt1489167	40
tt1488555	57
tt1488181	79
tt1487931	7
tt1486193	39
tt1486192	33
tt1486185	12
tt1484522	48
tt1483013	47
tt1480658	17
tt1478964	73
tt1478338	64
tt1477837	19
tt1477715	48
tt1477109	47
tt1477076	17
tt1474684	10
tt1470827	40
tt1470023	64
tt1470020	6
tt1465522	17
tt1464580	34
tt1464540	3
tt1464174	9
tt1462901	15
tt1462900	39
tt1462769	32
tt1462758	63
tt1462054	61
tt1462041	66
tt1460798	65
tt1460743	45
tt1458175	24
tt1457767	12
tt1457765	12
tt1454468	38
tt1454029	6
tt1453405	14
tt1450328	61
tt1449283	79
tt1448755	43
tt1446714	47
tt1446192	67
tt1442449	42
tt1441951	13
tt1441395	53
tt1441326	66
tt1440728	24
tt1440292	23
tt1440232	16
tt1440129	3
tt1438254	51
tt1438176	18
tt1438173	73
tt1437358	63
tt1436562	79
tt1434447	54
tt1433822	29
tt1433108	0
tt1431181	13
tt1431045	47
tt1430626	79
tt1430615	27
tt1430612	43
tt1430607	11
tt1430132	3
tt1428556	54
tt1428538	59
tt1425922	61
tt1424381	3
tt1423995	60
tt1423894	5
tt1422136	38
tt1421051	15
tt1418646	35
tt1418377	73
tt1415283	11
tt1414382	46
tt1414378	42
tt1414361	19
tt1412386	13
tt1411704	14
tt1411697	19
tt1411664	19
tt1411250	45
tt1411238	64
tt1410063	35
tt1409024	36
tt1408253	9
tt1408101	47
tt1407061	64
tt1405810	25
tt1405500	6
tt1405365	25
tt1403981	27
tt1403865	6
tt1403241	31
tt1403177	6
tt1403130	35
tt1402488	65
tt1401152	30
tt1399683	6
tt1399103	47
tt1398426	56
tt1397514	36
tt1397280	31
tt1396218	32
tt1392214	22
tt1392197	75
tt1392190	3
tt1392170	60
tt1391137	25
tt1390539	28
tt1390411	62
tt1389137	75
tt1386697	47
tt1386588	9
tt1385912	15
tt1385867	9
tt1385826	4
tt1379182	63
tt1376213	11
tt1376195	5
tt1375670	19
tt1375666	3
tt1374989	18
tt1372686	40
tt1371155	21
tt1371150	15
tt1371111	54
tt1366365	74
tt1366344	19
tt1366312	23
tt1361313	19
tt1360826	5
tt1355683	56
tt1355631	40
tt1355630	51
tt1352824	66
tt1351685	44
tt1349485	15
tt1349478	30
tt1346961	54
tt1345836	74
tt1343727	73
tt1343092	54
tt1341188	25
tt1341167	40
tt1340800	63
tt1340138	47
tt1337057	43
tt1336617	25
tt1336608	25
tt1335975	44
tt1334553	41
tt1334260	77
tt1333668	48
tt1333125	19
tt1327773	37
tt1327601	12
tt1327194	27
tt1325004	51
tt1323594	65
tt1322312	64
tt1322269	6
tt1321870	0
tt1321869	47
tt1321865	69
tt1321860	6
tt1320291	53
tt1320261	28
tt1320253	71
tt1320244	63
tt1319716	23
tt1319598	19
tt1318514	62
tt1316616	54
tt1316536	53
tt1315981	27
tt1314655	12
tt1314228	25
tt1314190	6
tt1311067	18
tt1308729	74
tt1307926	6
tt1307068	25
tt1306980	25
tt1305806	63
tt1305591	36
tt1305583	2
tt1303828	5
tt1303803	19
tt1302067	79
tt1302011	79
tt1301130	48
tt1300854	47
tt1300851	74
tt1298650	44
tt1298649	45
tt1296373	19
tt1294226	78
tt1294213	25
tt1294164	48
tt1294161	6
tt1292566	64
tt1291652	43
tt1291584	6
tt1291150	47
tt1289406	43
tt1289401	57
tt1288558	18
tt1287468	32
tt1286537	48
tt1285309	15
tt1285016	37
tt1284575	19
tt1282140	64
tt1282046	35
tt1281374	66
tt1279935	76
tt1278340	17
tt1277953	79
tt1276105	15
tt1276104	0
tt1274586	63
tt1274300	52
tt1273678	75
tt1272886	72
tt1272878	68
tt1272051	79
tt1270798	47
tt1270792	6
tt1270761	59
tt1270286	6
tt1270262	63
tt1268799	19
tt1267297	44
tt1266029	21
tt1265990	29
tt1264904	49
tt1263670	78
tt1262981	15
tt1262416	12
tt1261945	25
tt1259574	10
tt1259571	51
tt1259521	12
tt1258972	45
tt1258197	30
tt1255953	5
tt1253864	51
tt1253863	39
tt1252374	46
tt1252289	49
tt1251743	62
tt1250777	13
tt1247662	64
tt1247644	64
tt1245526	68
tt1245492	57
tt1245112	18
tt1244668	54
tt1244659	6
tt1243974	25
tt1243957	76
tt1242460	40
tt1242432	29
tt1241226	4
tt1240982	8
tt1239462	8
tt1238834	77
tt1236254	29
tt1235811	18
tt1235796	54
tt1235522	24
tt1235189	9
tt1234721	74
tt1234548	19
tt1233301	42
tt1233227	17
tt1233192	40
tt1232829	9
tt1232783	12
tt1232776	77
tt1232207	48
tt1232200	19
tt1231587	55
tt1231583	15
tt1231580	14
tt1230414	25
tt1230204	7
tt1229340	19
tt1229238	71
tt1228987	30
tt1228705	47
tt1227378	48
tt1226753	60
tt1226681	17
tt1226273	10
tt1226271	21
tt1226236	54
tt1226232	27
tt1226229	1
tt1225822	64
tt1224378	30
tt1222817	46
tt1220911	79
tt1220634	73
tt1220628	19
tt1220617	23
tt1220220	15
tt1220217	44
tt1220198	33
tt1219342	67
tt1217613	45
tt1217209	14
tt1216520	54
tt1216492	64
tt1216491	22
tt1216475	79
tt1213663	73
tt1213644	19
tt1213012	79
tt1212436	64
tt1212419	51
tt1212022	19
tt1211956	58
tt1211890	6
tt1210819	44
tt1210166	37
tt1210071	41
tt1210042	24
tt1210039	6
tt1206543	24
tt1205537	62
tt1205489	6
tt1204977	59
tt1204975	64
tt1204342	20
tt1201167	15
tt1198101	43
tt1197628	72
tt1197624	24
tt1196141	75
tt1195478	64
tt1194417	5
tt1194263	6
tt1194173	71
tt1193631	78
tt1193138	27
tt1192628	79
tt1191111	16
tt1190617	57
tt1190080	47
tt1189340	24
tt1188996	63
tt1188729	73
tt1187064	30
tt1186830	42
tt1186367	74
tt1185836	27
tt1185616	35
tt1185344	6
tt1185266	17
tt1183923	77
tt1183672	16
tt1182350	25
tt1182345	50
tt1179933	50
tt1179904	18
tt1179891	29
tt1179258	23
tt1179034	31
tt1178663	64
tt1176740	25
tt1175709	22
tt1175506	77
tt1175491	37
tt1174732	77
tt1174730	15
tt1172994	18
tt1172570	40
tt1172233	6
tt1171222	19
tt1170358	44
tt1164999	54
tt1161864	12
tt1161418	55
tt1160368	74
tt1156398	55
tt1156143	16
tt1155592	21
tt1155056	2
tt1153706	1
tt1153040	43
tt1152850	6
tt1152836	56
tt1152827	34
tt1152822	48
tt1152398	51
tt1151922	64
tt1151410	6
tt1150947	27
tt1149362	54
tt1149361	31
tt1148204	12
tt1148200	29
tt1148165	54
tt1147687	26
tt1147684	29
tt1144884	18
tt1142988	64
tt1142977	65
tt1142800	72
tt1142433	64
tt1139668	12
tt1139328	30
tt1137470	64
tt1136608	73
tt1135985	64
tt1135503	27
tt1135487	76
tt1135084	74
tt1134854	18
tt1134674	34
tt1134666	19
tt1133985	47
tt1132626	12
tt1131734	57
tt1131729	13
tt1130964	37
tt1130884	33
tt1130087	64
tt1130080	24
tt1129423	27
tt1128071	5
tt1127896	1
tt1127180	29
tt1126618	25
tt1126591	78
tt1126590	56
tt1125929	25
tt1125849	6
tt1124052	35
tt1124037	35
tt1124035	6
tt1121977	27
tt1121931	74
tt1121096	44
tt1120985	27
tt1119646	19
tt1116184	48
tt1114740	9
tt1114677	46
tt1111948	1
tt1111422	74
tt1109624	65
tt1106860	41
tt1105512	6
tt1104733	1
tt1104001	47
tt1103275	27
tt1103153	76
tt1100119	32
tt1099212	51
tt1098327	70
tt1097643	40
tt1097013	9
tt1095423	8
tt1095217	56
tt1095174	64
tt1093357	3
tt1092633	19
tt1092082	35
tt1092026	55
tt1091751	75
tt1091722	25
tt1091191	62
tt1090671	29
tt1087527	6
tt1086841	4
tt1086772	64
tt1085779	70
tt1085492	74
tt1085382	0
tt1084950	27
tt1083452	13
tt1082886	25
tt1082868	34
tt1080016	79
tt1079444	15
tt1078940	19
tt1078912	28
tt1078588	6
tt1077368	57
tt1077262	69
tt1075747	62
tt1075419	43
tt1075417	70
tt1074638	38
tt1074191	22
tt1073498	19
tt1073221	4
tt1071875	74
tt1071812	78
tt1071804	39
tt1070781	19
tt1068680	64
tt1068678	27
tt1068646	16
tt1067774	46
tt1067583	27
tt1067106	67
tt1065073	6
tt1064932	49
tt1063669	69
tt1060277	47
tt1059786	33
tt1058017	52
tt1057500	37
tt1056477	6
tt1055369	47
tt1054606	11
tt1054588	37
tt1053810	19
tt1053424	74
tt1051904	28
tt1050739	65
tt1049413	79
tt1049405	23
tt1047540	75
tt1046997	0
tt1046173	3
tt1046163	2
tt1045778	19
tt1045772	16
tt1045658	25
tt1045655	29
tt1043726	44
tt1042877	37
tt1041829	25
tt1041804	11
tt1038988	18
tt1038919	64
tt1038686	59
tt1037705	62
tt1035736	16
tt1034331	58
tt1034324	6
tt1034302	40
tt1034032	45
tt1033643	2
tt1033575	15
tt1032846	54
tt1032815	49
tt1032755	43
tt1032751	44
tt1031969	1
tt1028576	37
tt1028532	61
tt1027862	15
tt1027718	6
tt1024744	31
tt1024715	15
tt1024648	60
tt1023481	78
tt1023111	39
tt1022603	25
tt1020885	57
tt1020558	38
tt1020530	53
tt1020072	21
tt1019452	15
tt1018785	46
tt1018765	15
tt1017460	17
tt1017451	37
tt1016075	25
tt1015474	29
tt1015471	66
tt1014806	6
tt1014775	46
tt1014774	5
tt1014763	69
tt1014759	28
tt1013860	68
tt1013753	37
tt1013743	64
tt1012804	6
tt1010048	77
tt1007029	21
tt1007028	64
tt1007018	15
tt1003034	43
tt1002563	6
tt1002561	29
tt1001562	41
tt1001526	36
tt1001508	25
tt0999913	62
tt0997143	18
tt0996382	48
tt0995039	52
tt0993846	72
tt0993842	62
tt0990407	68
tt0989757	27
tt0988849	40
tt0988595	2
tt0988045	71
tt0986263	45
tt0985699	35
tt0985694	74
tt0983983	65
tt0983193	20
tt0981227	25
tt0981072	15
tt0980970	28
tt0979434	19
tt0978764	44
tt0978759	56
tt0977855	60
tt0976247	19
tt0976238	75
tt0976222	46
tt0976051	27
tt0976025	48
tt0974661	52
tt0972558	47
tt0971209	33
tt0970866	64
tt0970416	60
tt0970411	28
tt0970179	61
tt0968264	56
tt0964587	13
tt0964539	29
tt0964517	37
tt0964179	78
tt0963966	28
tt0963794	18
tt0963194	34
tt0963178	58
tt0962736	21
tt0962726	46
tt0961097	8
tt0960731	52
tt0960144	19
tt0959337	27
tt0959329	22
tt0955308	42
tt0954990	27
tt0954947	24
tt0952682	60
tt0952640	14
tt0951216	41
tt0949731	4
tt0948470	44
tt0947810	31
tt0947802	24
tt0947798	60
tt0945513	33
tt0944835	58
tt0944834	67
tt0944101	25
tt0942903	70
tt0942385	19
tt0940709	55
tt0940585	77
tt0938330	63
tt0938305	41
tt0938283	28
tt0937375	25
tt0937237	4
tt0936501	31
tt0935075	6
tt0929632	6
tt0926129	12
tt0925248	48
tt0923653	26
tt0923600	25
tt0920458	35
tt0918940	42
tt0918927	6
tt0914798	77
tt0914797	15
tt0913968	35
tt0913354	74
tt0912593	48
tt0910970	7
tt0910936	9
tt0907657	78
tt0906108	15
tt0903624	44
tt0903131	17
tt0901487	44
tt0901476	2
tt0899106	27
tt0898367	6
tt0896923	27
tt0896866	48
tt0893382	48
tt0893346	2
tt0892791	14
tt0892782	36
tt0892769	67
tt0892375	48
tt0892318	25
tt0891592	58
tt0891527	60
tt0890870	12
tt0889588	54
tt0889583	19
tt0889573	25
tt0887912	35
tt0887883	15
tt0887719	64
tt0884726	67
tt0884328	18
tt0884224	68
tt0882978	35
tt0882977	62
tt0881891	64
tt0881320	60
tt0880578	24
tt0879870	27
tt0878835	15
tt0878804	37
tt0876563	67
tt0875034	27
tt0874936	22
tt0873886	74
tt0872230	12
tt0871426	64
tt0870118	6
tt0870111	6
tt0866439	64
tt0865559	64
tt0865556	44
tt0865554	69
tt0864835	79
tt0864761	21
tt0862846	15
tt0861739	43
tt0861689	50
tt0859163	70
tt0857295	29
tt0857190	40
tt0854678	48
tt0852713	64
tt0851515	44
tt0850669	48
tt0850667	54
tt0848557	18
tt0848537	67
tt0848228	47
tt0846308	61
tt0844993	65
tt0844708	29
tt0844671	19
tt0844471	65
tt0844286	25
tt0843850	19
tt0843358	6
tt0843270	41
tt0842926	15
tt0841119	48
tt0841046	1
tt0840361	24
tt0839980	19
tt0839938	54
tt0838283	19
